REGISTRO_ANIO;REGISTRO_NUMERO;REGISTRO_FECHA;RESPONSABLE_DOCUMENTO;MASCOTA_TIPO;MASCOTA_SEXO;MASCOTA_NOMBRE;MASCOTA_RAZA;MASCOTA_ULTIMA_VACUNA;MASCOTA_ULTIMA_DESPARACITACION;CAMPANIA;LATITUD;LONGITUD;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;FECHA_CORTE
2023;8533;20230804;607a6432144090c05909a4f8696079703b344fd4534c1f6d10ebfe45c6bae3f3;PERRO;MACHO;BLANQUITA;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861119;-77.0086074;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8534;20230804;607a6432144090c05909a4f8696079703b344fd4534c1f6d10ebfe45c6bae3f3;PERRO;MACHO;HAKU;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861119;-77.0086074;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8536;20230804;f8f2b250f18d895b2d4258f23c8fc4e74a6918be5b769e26d7b8b86edfb5b5e3;PERRO;MACHO;GABRIEL;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1825611;-77.0117067;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8537;20230804;f8f2b250f18d895b2d4258f23c8fc4e74a6918be5b769e26d7b8b86edfb5b5e3;PERRO;MACHO;HECTOR;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861119;-77.0086074;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8538;20230804;f8f2b250f18d895b2d4258f23c8fc4e74a6918be5b769e26d7b8b86edfb5b5e3;PERRO;MACHO;AQUILES;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861119;-77.0086074;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8539;20230804;f8f2b250f18d895b2d4258f23c8fc4e74a6918be5b769e26d7b8b86edfb5b5e3;PERRO;MACHO;ARAMIS;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861119;-77.0086074;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8540;20230804;bd1f3ac4b2083de740068c2ba1b4ad6e0a521e316c6ac9b3799297b46d8df842;PERRO;MACHO;TONY;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861119;-77.0086074;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8541;20230804;2f80e97040b137c3777d8b9a24213f657ea10458128fa8a765a84c860bcdf3b5;PERRO;HEMBRA;YETSY;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861119;-77.0086074;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8542;20230804;140199029552288cd12781fcb1b34ea4aea98ce445ace365d0d217a810eee78f;PERRO;HEMBRA;BIANCA;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8543;20230804;5070fafa1c17254e39f7d5a208bea790fcf7e77216c686e2e4248915ac505b63;PERRO;MACHO;MAX;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
